id,name,k1,k2,k3,avg_test_ll,avg_lp.min
krxq4f90,valiant-sweep-302,64,8,24,-18.8637638092041,-34.501739501953125
oeft190y,toasty-sweep-303,64,8,36,-19.082380294799805,-34.75834655761719
gg6vii68,spring-sweep-304,64,8,48,-19.16180419921875,-34.29432678222656
2o5ho9h9,stilted-sweep-305,64,8,72,-18.502222061157227,-34.43366622924805
gtvbwm8b,smooth-sweep-306,64,8,90,-19.569807052612305,-34.06360626220703
ccyu9sag,pleasant-sweep-307,64,16,2,-28.360570907592773,-34.47157669067383
6ymn6vvl,usual-sweep-309,64,16,8,-21.51370429992676,-34.70848846435547
yk970b1n,ethereal-sweep-308,64,16,4,-24.720001220703125,-34.65043640136719
eg4s6g3b,scarlet-sweep-311,64,16,24,-19.223726272583008,-34.884273529052734
vikzjcxx,lucky-sweep-310,64,16,16,-20.652177810668945,-34.590328216552734
tq4cxd2g,dark-sweep-312,64,16,36,-20.236568450927734,-34.518638610839844
zy0fkc94,valiant-sweep-313,64,16,48,-19.94849967956543,-34.595054626464844
arad7ia5,comfy-sweep-314,64,16,72,-20.65230941772461,-34.0904541015625
h9oq1mkz,colorful-sweep-315,64,16,90,-21.425811767578125,-34.09966278076172
fcjwyqk9,unique-sweep-316,64,20,2,-27.628114700317383,-34.82343292236328
7atl8pqn,visionary-sweep-317,64,20,4,-24.282224655151367,-34.6524658203125
84h6d33d,warm-sweep-318,64,20,8,-22.227930068969727,-34.457420349121094
9hctyuoc,solar-sweep-319,64,20,16,-20.476093292236328,-34.71748733520508
ghgv3sj1,dauntless-sweep-320,64,20,24,-20.5655517578125,-34.58222579956055
xjpehng2,sweepy-sweep-321,64,20,36,-20.160884857177734,-34.33803939819336
